State,District,Monument Name,Type,Category,Latitude,Longitude,TouristRating,Description,History,ImageLink
Andhra Pradesh,Anantapur,Anantapur Monument 1,Heritage Site,Mixed,13.6231,78.2215,3.7,Famous monument 1 in Anantapur,Historical significance of monument 1 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 2,Heritage Site,Mixed,14.9917,81.886,3.5,Famous monument 2 in Anantapur,Historical significance of monument 2 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 3,Heritage Site,Mixed,14.9917,77.0545,4.5,Famous monument 3 in Anantapur,Historical significance of monument 3 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 4,Heritage Site,Mixed,17.0075,81.9047,4.6,Famous monument 4 in Anantapur,Historical significance of monument 4 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 5,Heritage Site,Mixed,18.8462,79.9965,4.0,Famous monument 5 in Anantapur,Historical significance of monument 5 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 6,Heritage Site,Mixed,15.6743,83.3583,3.7,Famous monument 6 in Anantapur,Historical significance of monument 6 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 7,Heritage Site,Mixed,13.6946,79.6408,4.2,Famous monument 7 in Anantapur,Historical significance of monument 7 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 8,Heritage Site,Mixed,13.289,78.21,3.5,Famous monument 8 in Anantapur,Historical significance of monument 8 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 9,Heritage Site,Mixed,18.3266,79.3257,3.5,Famous monument 9 in Anantapur,Historical significance of monument 9 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Anantapur,Anantapur Monument 10,Heritage Site,Mixed,15.987,77.7791,4.1,Famous monument 10 in Anantapur,Historical significance of monument 10 in Anantapur,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 1,Heritage Site,Mixed,18.7336,83.6589,4.5,Famous monument 1 in Sri Sathya Sai,Historical significance of monument 1 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 2,Heritage Site,Mixed,16.9613,77.8652,4.7,Famous monument 2 in Sri Sathya Sai,Historical significance of monument 2 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 3,Heritage Site,Mixed,15.6982,78.6248,4.3,Famous monument 3 in Sri Sathya Sai,Historical significance of monument 3 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 4,Heritage Site,Mixed,13.2735,81.3157,4.3,Famous monument 4 in Sri Sathya Sai,Historical significance of monument 4 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 5,Heritage Site,Mixed,17.1033,83.7149,4.2,Famous monument 5 in Sri Sathya Sai,Historical significance of monument 5 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
Andhra Pradesh,Sri Sathya Sai,Sri Sathya Sai Monument 6,Heritage Site,Mixed,13.2759,77.5634,4.4,Famous monument 6 in Sri Sathya Sai,Historical significance of monument 6 in Sri Sathya Sai,https://upload.wikimedia.org/wikipedia/commons/a/a3/India_monument.jpg
