Monument Name,State/UT,City,Latitude,Longitude,Description,Image Link,3D Model Link
Indian Heritage Monument 1,Ladakh,Temple Town,,,"Historic monument located in Temple Town, Ladakh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 2,Lakshadweep,Capital City,,,"Historic monument located in Capital City, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 3,Uttar Pradesh,Fort City,,,"Historic monument located in Fort City, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 4,Assam,Heritage City,,,"Historic monument located in Heritage City, Assam.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 5,Bihar,Heritage City,,,"Historic monument located in Heritage City, Bihar.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 6,Andaman and Nicobar Islands,Temple Town,,,"Historic monument located in Temple Town, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 7,Tripura,Temple Town,,,"Historic monument located in Temple Town, Tripura.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 8,Tamil Nadu,Fort City,,,"Historic monument located in Fort City, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 9,Gujarat,Historic Town,,,"Historic monument located in Historic Town, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 10,Chandigarh,Capital City,,,"Historic monument located in Capital City, Chandigarh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 11,Sikkim,Fort City,,,"Historic monument located in Fort City, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 12,Uttar Pradesh,Capital City,,,"Historic monument located in Capital City, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 13,Meghalaya,Historic Town,,,"Historic monument located in Historic Town, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 14,Uttarakhand,Fort City,,,"Historic monument located in Fort City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 15,Punjab,Capital City,,,"Historic monument located in Capital City, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 16,Goa,Temple Town,,,"Historic monument located in Temple Town, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 17,Meghalaya,Heritage City,,,"Historic monument located in Heritage City, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 18,West Bengal,Fort City,,,"Historic monument located in Fort City, West Bengal.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 19,Sikkim,Historic Town,,,"Historic monument located in Historic Town, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 20,Tamil Nadu,Historic Town,,,"Historic monument located in Historic Town, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 21,Mizoram,Fort City,,,"Historic monument located in Fort City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 22,West Bengal,Ancient Site,,,"Historic monument located in Ancient Site, West Bengal.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 23,Karnataka,Heritage City,,,"Historic monument located in Heritage City, Karnataka.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 24,Dadra and Nagar Haveli and Daman and Diu,Fort City,,,"Historic monument located in Fort City, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 25,Kerala,Ancient Site,,,"Historic monument located in Ancient Site, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 26,Meghalaya,Historic Town,,,"Historic monument located in Historic Town, Meghalaya.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 27,Tamil Nadu,Fort City,,,"Historic monument located in Fort City, Tamil Nadu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 28,Maharashtra,Historic Town,,,"Historic monument located in Historic Town, Maharashtra.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 29,Uttar Pradesh,Historic Town,,,"Historic monument located in Historic Town, Uttar Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 30,Goa,Ancient Site,,,"Historic monument located in Ancient Site, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 31,Punjab,Historic Town,,,"Historic monument located in Historic Town, Punjab.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 32,Kerala,Heritage City,,,"Historic monument located in Heritage City, Kerala.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 33,Andaman and Nicobar Islands,Heritage City,,,"Historic monument located in Heritage City, Andaman and Nicobar Islands.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 34,Uttarakhand,Capital City,,,"Historic monument located in Capital City, Uttarakhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 35,Puducherry,Capital City,,,"Historic monument located in Capital City, Puducherry.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 36,Sikkim,Capital City,,,"Historic monument located in Capital City, Sikkim.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 37,Himachal Pradesh,Temple Town,,,"Historic monument located in Temple Town, Himachal Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 38,Mizoram,Historic Town,,,"Historic monument located in Historic Town, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 39,Gujarat,Temple Town,,,"Historic monument located in Temple Town, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 40,Assam,Temple Town,,,"Historic monument located in Temple Town, Assam.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 41,Telangana,Capital City,,,"Historic monument located in Capital City, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 42,Delhi,Ancient Site,,,"Historic monument located in Ancient Site, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 43,Telangana,Capital City,,,"Historic monument located in Capital City, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 44,Goa,Fort City,,,"Historic monument located in Fort City, Goa.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 45,Delhi,Capital City,,,"Historic monument located in Capital City, Delhi.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 46,Jammu and Kashmir,Fort City,,,"Historic monument located in Fort City, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 47,Dadra and Nagar Haveli and Daman and Diu,Heritage City,,,"Historic monument located in Heritage City, Dadra and Nagar Haveli and Daman and Diu.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 48,Jharkhand,Ancient Site,,,"Historic monument located in Ancient Site, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 49,Mizoram,Fort City,,,"Historic monument located in Fort City, Mizoram.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 50,Madhya Pradesh,Temple Town,,,"Historic monument located in Temple Town, Madhya Pradesh.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 51,Telangana,Ancient Site,,,"Historic monument located in Ancient Site, Telangana.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 52,Tripura,Fort City,,,"Historic monument located in Fort City, Tripura.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 53,Nagaland,Historic Town,,,"Historic monument located in Historic Town, Nagaland.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 54,Jammu and Kashmir,Ancient Site,,,"Historic monument located in Ancient Site, Jammu and Kashmir.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 55,Jharkhand,Heritage City,,,"Historic monument located in Heritage City, Jharkhand.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 56,Lakshadweep,Heritage City,,,"Historic monument located in Heritage City, Lakshadweep.",https://upload.wikimedia.org/,https://sketchfab.com/
Indian Heritage Monument 57,Gujarat,Heritage City,,,"Historic monument located in Heritage City, Gujarat.",https://upload.wikimedia.org/,https://sketchfab.com/
