state,district,monument_name,latitude,longitude,description,image_link,model_3d_link
Odisha,Angul,Anantashayi Vishnu of Sarang,20.9238,85.1555,"9th-century rock-cut image of reclining Lord Vishnu carved on the riverbed of Brahmani.",https://commons.wikimedia.org/wiki/Special:FilePath/Anantashayi_Vishnu_Sarang.jpg,N/A
Odisha,Balangir,Ranipur Jharial,20.2950,82.9710,"Ancient site featuring the 64 Yogini Temple and numerous other stone temples.",https://commons.wikimedia.org/wiki/Special:FilePath/Ranipur_Jharial.jpg,N/A
Odisha,Balasore,Raibania Fort,21.9219,87.1852,"A group of ancient forts considered the largest laterite fort complex in India.",https://commons.wikimedia.org/wiki/Special:FilePath/Raibania_Fort.jpg,N/A
Odisha,Bargarh,Nrusinghanath Temple,20.8755,82.8093,"15th-century temple located at the foothills of Gandhamardhan Hill.",https://commons.wikimedia.org/wiki/Special:FilePath/Nrusinghanath_Temple_Bargarh.jpg,N/A
Odisha,Bhadrak,Akhandalamani Temple,20.8400,86.7200,"Historic Shaiva temple located on the banks of the Baitarani River.",https://commons.wikimedia.org/wiki/Special:FilePath/Akhandalamani_Temple.jpg,N/A
Odisha,Boudh,Rameswar Temple,20.8406,84.3216,"Group of three ancient 9th-century star-shaped temples dedicated to Lord Shiva.",https://commons.wikimedia.org/wiki/Special:FilePath/Rameswar_Temple_Boudh.jpg,N/A
Odisha,Cuttack,Barabati Fort,20.4800,85.8700,"13th-century Ganga dynasty fort ruins with an intact carved gateway.",https://commons.wikimedia.org/wiki/Special:FilePath/Barabati_Fort_Gate.jpg,N/A
Odisha,Deogarh,Jagannath Temple Purunagarh,21.5350,84.7350,"An 18th-century temple built in 1705 by Raja Pratap Rudra Deb, reflecting the architectural heritage of the Bamanda State.",http://googleusercontent.com/image_collection/image_retrieval/11727761171828067190,N/A
Odisha,Dhenkanal,Kapilash Temple,20.6800,85.7600,"Ancient Shiva temple situated atop the Kapilash hill range.",https://commons.wikimedia.org/wiki/Special:FilePath/Kapilash_Temple.jpg,N/A
Odisha,Gajapati,Chandragiri Buddhist Monastery,19.2600,84.2700,"Also known as Padmasambhava Mahavihara; a prominent Tibetan Buddhist monastery.",https://commons.wikimedia.org/wiki/Special:FilePath/Jirang_Monastery.jpg,N/A
Odisha,Ganjam,Jaugada Rock Edict,19.5200,84.8100,"Ancient Mauryan fortified settlement featuring rock edicts of Emperor Ashoka.",https://commons.wikimedia.org/wiki/Special:FilePath/Jaugada_Rock_Edict.jpg,N/A
Odisha,Jagatsinghpur,Sarala Temple,20.3400,86.3900,"Historic Hindu temple dedicated to Goddess Sarala patronized by the Bhauma-Kara dynasty.",https://commons.wikimedia.org/wiki/Special:FilePath/Sarala_Temple_Jhankad.jpg,N/A
Odisha,Jajpur,Ratnagiri Buddhist Excavation,20.6400,86.3300,"Major ruined Mahavihara Buddhist monastic complex dating back to the 5th century.",https://commons.wikimedia.org/wiki/Special:FilePath/Ratnagiri_Buddhist_Complex.jpg,N/A
Odisha,Jharsuguda,Vikramkhol Cave Inscriptions,21.8400,83.8000,"Prehistoric cave containing ancient undeciphered pictographic inscriptions.",https://commons.wikimedia.org/wiki/Special:FilePath/Vikramkhol_Cave.jpg,N/A
Odisha,Kalahandi,Asurgarh Fort,19.8500,83.3300,"An ancient fortified settlement dating back to the Mauryan period.",https://commons.wikimedia.org/wiki/Special:FilePath/Asurgarh_Fort.jpg,N/A
Odisha,Kandhamal,Lord Birupakshya Temple Chakapada,20.0820,84.2340,"An ancient Shiva temple situated on the Brutunga River, famous for its south-leaning Shiva Linga and deep spiritual significance.",http://googleusercontent.com/image_collection/image_retrieval/12742649538808722637,N/A
Odisha,Kendrapara,Baladevjew Temple,20.4900,86.4200,"18th-century temple featuring distinct Kalingan architecture dedicated to Lord Balabhadra.",https://commons.wikimedia.org/wiki/Special:FilePath/Baladevjew_Temple.jpg,N/A
Odisha,Kendujhar,Sitabinji Frescoes,21.5200,85.7600,"Ancient rock shelter containing 4th-century tempera paintings depicting royal processions.",https://commons.wikimedia.org/wiki/Special:FilePath/Sitabinji_Fresco.jpg,N/A
