QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,Answer
QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,Answer
1,Buddhist,Which of these is a UNESCO World Heritage Site?,Vikramshila University Ruins,Mahabodhi Temple,Kesariya Stupa,Buddha Smriti Park,Mahabodhi Temple
2,Buddhist,True or False: Barabar Caves are the oldest surviving rock-cut caves from the Mauryan period.,True,False,, ,True
3,Buddhist,Kesariya Stupa is associated with which religion?,Hinduism,Buddhism,Islam,Jainism,Buddhism
4,Buddhist,Vishwa Shanti Stupa is located in which city?,Patna,Rajgir,Bodh Gaya,Nalanda,Rajgir
5,Buddhist,Nalanda Mahavihara was primarily a center for:,Military training,Buddhist learning,Commerce,Jainism,Buddhist learning
6,Buddhist,Match the monument with the correct location: Mahabodhi Temple → ?,Vikramshila University,Bodh Gaya,Nalanda,Rajgir,Bodh Gaya
7,Buddhist,Which of the following monuments is NOT in Bihar?,Vikramshila University Ruins,Sanchi Stupa,Kesariya Stupa,Buddha Smriti Park,Sanchi Stupa
8,Buddhist,True or False: Buddha Smriti Park is located in Patna.,True,False,, ,True
9,Buddhist,The main deity of Mahabodhi Temple is:,Lord Shiva,Lord Vishnu,Gautama Buddha,Lord Mahavir,Gautama Buddha
10,Buddhist,Which stupa is known for being the largest in Bihar?,Barabar Caves,Kesariya Stupa,Vishwa Shanti Stupa,Nalanda Mahavihara,Kesariya Stupa
11,Buddhist,Which university in Bihar was a major Buddhist learning center alongside Nalanda?,Vikramshila University,Patna University,Magadh University,Rajgir University,Vikramshila University
12,Buddhist,True or False: Vikramshila University Ruins are located near Bodh Gaya.,True,False,, ,False
13,Buddhist,Barabar Caves were built during which dynasty?,Mauryan,Gupta,Mughal,Chola,Mauryan
14,Buddhist,Match the monument with its type: Mahabodhi Temple → ?,Temple,Stupa,Rock-cut caves,University,Temple
15,Buddhist,Which of the following is a modern Buddhist monument?,Barabar Caves,Buddha Smriti Park,Kesariya Stupa,Vikramshila University Ruins,Buddha Smriti Park
16,Buddhist,True or False: Nalanda Mahavihara was destroyed by invaders in the 12th century.,True,False,, ,True
17,Buddhist,Vishwa Shanti Stupa in Rajgir is primarily a:,Temple,Stupa,Fort,Museum,Stupa
18,Buddhist,Which of these sites is known for ancient inscriptions in rock?,Barabar Caves,Mahabodhi Temple,Kesariya Stupa,Buddha Smriti Park,Barabar Caves
19,Buddhist,Which Buddhist monument is associated with Ashoka?,Barabar Caves,Mahabodhi Temple,Nalanda Mahavihara,Vikramshila University,Barabar Caves
20,Buddhist,True or False: Kesariya Stupa is in Patna district.,True,False,, ,False
21,Hindu,Which is considered one of the oldest functional Hindu temples in the world?,Mundeshwari Temple,Vishnupad Temple,Mahavir Mandir Patna,Thawe Mandir,Mundeshwari Temple
